127.0.0.1 - - [07/Jun/2018:20:11:56 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:12:19 +0900] "GET /HuCloud HTTP/1.1" 500 46042
0:0:0:0:0:0:0:1 - - [07/Jun/2018:20:12:24 +0900] "GET /WebGoat HTTP/1.1" 401 994
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:36 +0900] "GET /WebGoat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:36 +0900] "GET /WebGoat/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/attack HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/images/logos/owasp.jpg HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/images/logos/ounce.jpg HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/css/webgoat.css HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/images/logos/aspect.jpg HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:45 +0900] "GET /WebGoat/images/header/header.jpg HTTP/1.1" 200 18688
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/css/lesson.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/css/webgoat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/css/menu.css HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/css/layers.css HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/javascript/javascript.js HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/javascript/lessonNav.js HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/javascript/menu_system.js HTTP/1.1" 200 7534
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/javascript/toggle.js HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/javascript/makeWindow.js HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:48 +0900] "GET /WebGoat/images/menu_images/1x1.gif HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/lessonComplete.jpg HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "POST /WebGoat/attack HTTP/1.1" 200 31916
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/help.jpg HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/params.jpg HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/logout.jpg HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/cookies.jpg HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/plans.jpg HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/introduction/interface.jpg HTTP/1.1" 200 28842
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/introduction/HowToUse_1.jpg HTTP/1.1" 200 17040
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/introduction/HowToUse_2.jpg HTTP/1.1" 200 32135
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/introduction/HowToUse_3.jpg HTTP/1.1" 200 38055
0:0:0:0:0:0:0:1 - webgoat [07/Jun/2018:20:12:49 +0900] "GET /WebGoat/images/buttons/hintLeftOver.jpg HTTP/1.1" 200 482
